,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Total Tenders
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"135,205"
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"106,847"
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"198,439"
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"236,320"
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,925"
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"283,032"
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"52,290"
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"119,964"
EU Institutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"189,075"
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"69,002"
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800000.0
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"381,127"
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"576,932"
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"63,819"
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"213,851"
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,116"
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"142,129"
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000000.0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"160,242"
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"202,288"
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,024"
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,950"
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"132,879"
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"276,538"
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2900000.0
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000.0
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21100000.0
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"548,191"
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"143,278"
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400000.0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"132,373"
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"125,240"
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"539,999"
